Date,Panamá,Costa Rica,Nicaragua,Guatemala,El Salvador,Honduras
2020-01-22 00:00:00+00:00,0,0,0,0,0,0
2020-01-23 00:00:00+00:00,0,0,0,0,0,0
2020-01-24 00:00:00+00:00,0,0,0,0,0,0
2020-01-25 00:00:00+00:00,0,0,0,0,0,0
2020-01-26 00:00:00+00:00,0,0,0,0,0,0
2020-01-27 00:00:00+00:00,0,0,0,0,0,0
2020-01-28 00:00:00+00:00,0,0,0,0,0,0
2020-01-29 00:00:00+00:00,0,0,0,0,0,0
2020-01-30 00:00:00+00:00,0,0,0,0,0,0
2020-01-31 00:00:00+00:00,0,0,0,0,0,0
2020-02-01 00:00:00+00:00,0,0,0,0,0,0
2020-02-02 00:00:00+00:00,0,0,0,0,0,0
2020-02-03 00:00:00+00:00,0,0,0,0,0,0
2020-02-04 00:00:00+00:00,0,0,0,0,0,0
2020-02-05 00:00:00+00:00,0,0,0,0,0,0
2020-02-06 00:00:00+00:00,0,0,0,0,0,0
2020-02-07 00:00:00+00:00,0,0,0,0,0,0
2020-02-08 00:00:00+00:00,0,0,0,0,0,0
2020-02-09 00:00:00+00:00,0,0,0,0,0,0
2020-02-10 00:00:00+00:00,0,0,0,0,0,0
2020-02-11 00:00:00+00:00,0,0,0,0,0,0
2020-02-12 00:00:00+00:00,0,0,0,0,0,0
2020-02-13 00:00:00+00:00,0,0,0,0,0,0
2020-02-14 00:00:00+00:00,0,0,0,0,0,0
2020-02-15 00:00:00+00:00,0,0,0,0,0,0
2020-02-16 00:00:00+00:00,0,0,0,0,0,0
2020-02-17 00:00:00+00:00,0,0,0,0,0,0
2020-02-18 00:00:00+00:00,0,0,0,0,0,0
2020-02-19 00:00:00+00:00,0,0,0,0,0,0
2020-02-20 00:00:00+00:00,0,0,0,0,0,0
2020-02-21 00:00:00+00:00,0,0,0,0,0,0
2020-02-22 00:00:00+00:00,0,0,0,0,0,0
2020-02-23 00:00:00+00:00,0,0,0,0,0,0
2020-02-24 00:00:00+00:00,0,0,0,0,0,0
2020-02-25 00:00:00+00:00,0,0,0,0,0,0
2020-02-26 00:00:00+00:00,0,0,0,0,0,0
2020-02-27 00:00:00+00:00,0,0,0,0,0,0
2020-02-28 00:00:00+00:00,0,0,0,0,0,0
2020-02-29 00:00:00+00:00,0,0,0,0,0,0
2020-03-01 00:00:00+00:00,0,0,0,0,0,0
2020-03-02 00:00:00+00:00,0,0,0,0,0,0
2020-03-03 00:00:00+00:00,0,0,0,0,0,0
2020-03-04 00:00:00+00:00,0,0,0,0,0,0
2020-03-05 00:00:00+00:00,0,0,0,0,0,0
2020-03-06 00:00:00+00:00,0,1,0,0,0,0
2020-03-07 00:00:00+00:00,0,1,0,0,0,0
2020-03-08 00:00:00+00:00,0,5,0,0,0,0
2020-03-09 00:00:00+00:00,0,9,0,0,0,0
2020-03-10 00:00:00+00:00,1,9,0,0,0,0
2020-03-11 00:00:00+00:00,8,13,0,0,0,2
2020-03-12 00:00:00+00:00,11,22,0,0,0,2
2020-03-13 00:00:00+00:00,27,23,0,0,0,2
2020-03-14 00:00:00+00:00,36,26,0,1,0,2
2020-03-15 00:00:00+00:00,43,27,0,1,0,3
2020-03-16 00:00:00+00:00,55,35,0,2,0,6
2020-03-17 00:00:00+00:00,69,41,0,6,0,8
2020-03-18 00:00:00+00:00,86,50,0,6,0,9
2020-03-19 00:00:00+00:00,109,69,1,9,1,12
2020-03-20 00:00:00+00:00,137,89,1,12,1,24
2020-03-21 00:00:00+00:00,200,117,1,17,3,24
2020-03-22 00:00:00+00:00,313,134,2,19,3,26
2020-03-23 00:00:00+00:00,345,158,2,20,3,30
2020-03-24 00:00:00+00:00,345,177,2,21,5,30
2020-03-25 00:00:00+00:00,443,201,2,24,9,36
2020-03-26 00:00:00+00:00,558,231,2,25,13,52
2020-03-27 00:00:00+00:00,674,263,2,28,13,68
2020-03-28 00:00:00+00:00,786,295,2,34,19,95
2020-03-29 00:00:00+00:00,901,314,2,34,24,110
2020-03-30 00:00:00+00:00,989,330,4,36,30,139
2020-03-31 00:00:00+00:00,1181,347,4,38,32,141
2020-04-01 00:00:00+00:00,1181,375,5,39,32,172
2020-04-02 00:00:00+00:00,1317,396,5,47,41,219
2020-04-03 00:00:00+00:00,1475,416,5,50,46,222
2020-04-04 00:00:00+00:00,1673,435,5,61,56,264
2020-04-05 00:00:00+00:00,1801,454,5,61,62,268
2020-04-06 00:00:00+00:00,1988,467,5,70,69,298
2020-04-07 00:00:00+00:00,2100,483,6,77,78,305
2020-04-08 00:00:00+00:00,2249,502,6,87,93,312
2020-04-09 00:00:00+00:00,2528,539,6,95,103,343
2020-04-10 00:00:00+00:00,2752,558,6,126,117,382
2020-04-11 00:00:00+00:00,2974,577,7,137,118,392
2020-04-12 00:00:00+00:00,3234,595,7,155,125,393
2020-04-13 00:00:00+00:00,3400,612,9,156,137,397
2020-04-14 00:00:00+00:00,3472,618,9,167,149,407
